City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
618,Bougouni,ML,71.83,Clouds,11.417,-7.479,Hotel Piemont
621,Alanib,PH,82.36,Clouds,8.0278,124.9861,No hotel found
627,Mbour,SN,70.65,Clear,14.422,-16.9638,Keur Sarafina Mbour
629,Nioro,GM,70.43,Clear,13.35,-15.75,No hotel found
630,Porbandar,IN,77.04,Clear,21.6422,69.6093,Toran Tourist Bungalow
632,Rock Sound,BS,80.47,Clouds,24.9,-76.2,Rock Sound Club
637,Vanimo,PG,83.59,Clouds,-2.6741,141.3028,CBC Guesthouse
641,Bahia Blanca,AR,70.29,Clouds,-38.7196,-62.2724,Hotel Austral Bahía
646,High Rock,BS,77.02,Clouds,26.6208,-78.2833,No hotel found
647,Progreso,MX,76.1,Clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
650,Blackwater,AU,75.43,Clouds,-23.5833,148.8833,No hotel found
653,Ixtapa,MX,71.22,Clear,20.7,-105.2,No hotel found
657,Palmas,BR,76.87,Clouds,-10.2128,-48.3603,Hotel Triângulo Mineiro
662,Kapoeta,SS,78.87,Clouds,4.7717,33.5903,Kuleu
663,Pontian Kecil,MY,89.92,Clouds,1.4801,103.3899,Hotel Wan Loong
664,Mabaruma,GY,72.64,Rain,8.2,-59.7833,Monty Brooms Hotel
668,Poya,NC,84.63,Clouds,-21.35,165.15,No hotel found
680,Kanel,SN,74.32,Clouds,15.4916,-13.1763,No hotel found
682,Jardim,BR,70.88,Clouds,-21.4803,-56.1381,Hotel Uchôa
685,Marsh Harbour,BS,78.87,Clouds,26.5412,-77.0636,Lofty Fig Villas
688,Belmonte,BR,75.96,Clouds,-15.8631,-38.8828,No hotel found
689,Edeia,BR,70.65,Clear,-17.3383,-49.9314,Hotel Roma
691,Port Hedland,AU,89.65,Clouds,-20.3167,118.5667,The Esplanade Hotel
694,Auki,SB,82.13,Clouds,-8.7676,160.7034,No hotel found
695,Finschhafen,PG,83.66,Clouds,-6.6024,147.8681,No hotel found
698,Rio Cuarto,AR,77.32,Clear,-33.1307,-64.3499,Marluc
700,Saiha,IN,80.33,Clouds,22.4833,92.9667,No hotel found
701,Jensen Beach,US,76.08,Clear,27.2545,-80.2298,Caribbean Shores Waterfront Resort
705,Port Blair,IN,86.04,Clouds,11.6667,92.75,Andaman Ocean Breeze
