City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,Tuatapere,NZ,-46.1333,167.6833,60.67,52,72,4.92,Clouds
72,Upernavik,GL,72.7868,-56.1549,13.08,84,100,4.94,Clouds
73,Sistranda,NO,63.7256,8.834,44.56,73,89,12.44,Clouds
74,Lasa,IT,46.6166,10.7002,38.35,70,100,1.74,Clouds
75,Kruisfontein,ZA,-34.0033,24.7314,63.88,93,3,5.39,Clear
76,Camacha,PT,33.0833,-16.3333,65.62,77,40,12.66,Clouds
77,Baykit,RU,61.67,96.37,-7.37,95,100,4.72,Clouds
78,Vardo,NO,70.3705,31.1107,30.18,86,58,18.41,Clouds
79,Oudtshoorn,ZA,-33.5907,22.2014,61.61,76,2,3.24,Clear
80,Ambilobe,MG,-13.2,49.05,78.1,61,40,3.96,Clouds
81,Victoria,HK,22.2855,114.1577,82.45,84,16,10.0,Clouds
82,Toora-Khem,RU,52.4675,96.11,-11.96,82,100,0.13,Clouds
83,Samur,RU,41.8253,48.486,47.75,89,100,12.88,Clouds
84,Uvat,RU,59.1433,68.8953,-4.61,85,98,7.87,Clouds
85,Inongo,CD,-1.95,18.2667,69.15,96,88,0.74,Clouds
86,Lompoc,US,34.6391,-120.4579,53.58,88,100,1.01,Clouds
87,Mola Di Bari,IT,41.0609,17.0873,48.58,83,39,8.99,Clouds
88,Barcelos,PT,41.5388,-8.6151,48.92,86,51,2.42,Clouds
89,Peniche,PT,39.3558,-9.3811,57.56,82,51,16.26,Clouds
90,Majene,ID,-3.5403,118.9707,86.34,66,86,5.75,Clouds
91,Port Moresby,PG,-9.4431,147.1797,85.1,67,80,8.25,Clouds
92,Kapaa,US,22.0752,-159.319,75.18,85,95,5.44,Clouds
93,Cockburn Town,TC,21.4612,-71.1419,80.31,72,16,15.08,Clouds
94,Merauke,ID,-8.4667,140.3333,83.28,73,99,8.97,Clouds
95,Adrar,MR,20.5022,-10.0711,63.86,34,0,12.33,Clear
96,Harper,LR,4.375,-7.7169,77.4,84,9,7.63,Rain
97,Panaba,MX,21.2833,-88.2667,75.88,85,100,6.29,Clouds
98,Clyde River,CA,70.4692,-68.5914,-17.75,89,3,5.01,Clear
99,Nome,US,64.5011,-165.4064,2.16,87,75,6.04,Clouds
100,Port Elizabeth,ZA,-33.918,25.5701,66.09,97,4,12.68,Clear
